idSport;SPORTS
1;Athlétisme
2;Aviron
3;Badminton
4;Basket fauteuil
5;Basketball
6;Basketball 3x3
7;BMX freestyle
8;BMX race
9;Boccia
10;Boxe
11;Breaking
12;Canoë
13;Cécifoot
14;Cyclisme sur piste
15;Cyclisme sur route
16;Escalade sportive
17;Escrime
18;Escrime fauteuil
19;Football
20;Goalball
21;Golf
22;Gymnastique artistique
23;Gymnastique rythmique
24;Haltérophilie
25;Handball
26;Hockey
27;Judo
28;Lutte
29;Natation
30;Natation artistique
31;Para athlétisme
32;Para aviron
33;Para Badminton
34;Para canoë
35;Para cyclisme sur piste
36;Para cyclisme sur route
37;Para équitation
38;Para judo
39;Para natation
40;Para powerlifting
41;Para taekwondo
42;Para tennis de table
43;Para tir à l'arc
44;Pentathlon moderne
45;Plongeon
46;Rugby
47;Rugby fauteuil
48;Skateboard
49;Sports équestres
50;Taekwondo
51;Tennis
52;Tennis de table
53;Tennis fauteuil
54;Tir à l'arc
55;trampoline
56;Volleyball
57;Volley-ball assis
58;Volleyball de plage
59;VTT
60;Water-polo
